otu_id	^ot:ottTaxonName	^ot:ottId	^ncbi:taxon	^ncbi:accession	^physcraper:last_blasted	^physcraper:ingroup	^physcraper:status	^ot:originalLabel	^ncbi:title
otu63499	Gyromitra esculenta	806598	0	-	None	True	original	Gyromitra_esculenta	-
otu63500	Pseudorhizina californica	522185	265115	-	None	True	original	Gyromitra_californica	-
otu63507	Cheilymenia stercorea	16902	47189	-	None	True	original	Cheilymenia_stercorea	-
otu63508	Aleuria aurantia	880971	5188	-	None	True	original	Aleuria_aurantia	-
otu63506	Anthracobia macrocystis	844360	0	-	None	True	original	Anthracobia_macrocystis	-
otu63505	Scutellinia scutellata	285202	47209	-	None	True	original	Scutellinia_scutellata	-
otu63504	Lasiobolidium spirale	269882	352998	-	None	True	original	Lasiobolidium_spirale	-
otu63503	Pyronema domesticum	833553	47205	-	None	True	original	Pyronema_domesticum	-
otu63502	Ascodesmis sphaerospora	16914	47183	-	None	True	original	Ascodesmis_sphaerospora	-
otu63501	Eleutherascus lectardii	1071527	336791	-	None	True	original	Eleutherascus_lectardii	-
otu63511	Pseudopithyella minuscula	454755	61499	-	None	True	original	Pseudopithyella_minuscula	-
otu63513	Sarcoscypha coccinea	538620	51139	-	None	True	original	Sarcoscypha_coccinea_1	-
otu63512	Sarcoscypha coccinea	538620	51139	-	None	True	original	Sarcoscypha_coccinea_2	-
otu63509	Pseudosarcosoma latahense	523442	1281308	-	None	True	original	Sarcosoma_latahense	-
otu63510	Galiella rufa	64977	61507	-	None	True	original	Galiella_rufa	-
otu63481	Marcelleina persoonii	608799	173108	-	None	True	original	Marcelleina_persoonii	-
otu63485	Plicaria endocarpoides	233405	43084	-	None	True	original	Plicaria_leiocarpa	-
otu63484	Adelphella babingtonii	5303104	0	-	None	True	original	Pachyella_babingtonii	-
otu63483	Sarcosphaera coronaria	1059771	265113	-	None	True	original	Sarcosphaera_crassa	-
otu63482	Peziza vesiculosa	602199	47203	-	None	True	original	Peziza_vesiculosa	-
otu63487	Ascobolus carbonarius	522182	265117	-	None	True	original	Ascobolus_carbonarius	-
otu63488	Ascobolus crenulatus	522198	265118	-	None	True	original	Ascobolus_crenulatus	-
otu63486	Saccobolus dilutellus	842358	406764	-	None	True	original	Saccobolus_dilutellus	-
otu63478	Orbilia vinosa	293783	47023	-	None	True	original	Orbilia_vinosa	-
otu63479	Arthrobotrys elegans	819779	561978	-	None	True	original	Arthrobotrys_elegans	-
otu63480	Orbilia auricolor	309921	53381	-	None	True	original	Orbilia_auricolor	-
otu63118	Sarcoleotia globosa	694133	315203	-	None	True	original	Sarcoleotia_globosa	-
otu63119	Trichoglossum hirsutum	428	265104	-	None	True	original	Trichoglossum_hirsutum	-
otu63120	Geoglossum nigritum	950343	107442	-	None	True	original	Geoglossum_nigritum	-
otu63475	Lichinella iodopulchra	221166	394999	-	None	True	deleted in reconciliation	Lichinella_iodopulchra	-
otu63477	Peltula umbilicata	132432	169193	-	None	True	original	Peltula_umbilicata	-
otu63476	Peltula auriculata	581982	395000	-	None	True	original	Peltula_auriculata	-
otu63431	Acarospora laqueata	93330	286393	-	None	True	original	Acarospora_laqueata	-
otu63432	Acarospora schleicheri	292323	88748	-	None	True	original	Acarospora_schleicheri	-
otu63433	Pleopsidium chlorophanum	249986	247144	-	None	True	original	Pleopsidium_chlorophanum	-
otu63434	Pleopsidium gobiense	560213	371072	-	None	True	original	Pleopsidium_gobiense	-
otu63411	Hypocenomyce scalaris	918536	318760	-	None	True	original	Hypocenomyce_scalaris	-
otu63412	Boreoplaca ultrafrigida	442989	318756	-	None	True	original	Boreoplaca_ultrafrigida	-
otu63408	Umbilicaria mammulata	304027	161685	-	None	True	original	Umbilicaria_mammulata	-
